No. ,Exhibitor Name (KOR),Exhibitor Name (ENG),Country ,Hall,Show Name ,Exhibit Item (KOR),Exhibit Item (ENG)
40,민테크,"Mintech Co., Ltd.",South Korea,C3.639,InterBattery Europe,,"AC Impedance Analyzer, All-In-One Battery Tester with Cycler, EIS Integrated Formation System"
41,휴비스,"HUBIS CO., LTD.",South Korea,C3.639,InterBattery Europe,,Laser welding scanner
42,유뱃,UBATT Inc.,South Korea,C3.639 ,InterBattery Europe,,Lithium Secondary Battery
43,에이앤폴리 ,ANPOLY,South Korea,C3.634 ,InterBattery Europe,,Nanocellulose LFP Binder
44,투엔,Two-N ,South Korea,C3.634 ,InterBattery Europe,,Water Treatment for Battery Industry & Battery Electrodes Stripping Solution
45,인터배터리,InterBattery ,South Korea,C3.641 ,InterBattery Europe,,
46,한국배터리산업협회,Korea Battery Industry Association ,South Korea,C3.653 ,InterBattery Europe,,
47,EV 트렌드 코리아 2025,EV Trend Korea 2025 ,South Korea,C3.753 ,InterBattery Europe,,
48,Green Energy Origin Texas ,Green Energy Origin Texas ,China,C3.320 ,InterBattery Europe,,Battery Materials
49,"Zhejiang GSP&DC Energy Technology CO., Ltd.","Zhejiang GSP&DC Energy Technology CO., Ltd.",China,C3.440,InterBattery Europe,,"Battery, Power bank, Industrial and commercial energy storage cabinet, energy storage device"
50,"Shenzhen Yunt Digital Power Co., Ltd. ","Shenzhen Yunt Digital Power Co., Ltd. ",China,C3.470,InterBattery Europe,,Portable Power Station/Energy Storage System
51,"Hunan Ancheng New Energy Co., Ltd","Hunan Ancheng New Energy Co., Ltd",China,C3.570 ,InterBattery Europe,,Battery Energy Storage System
52,"Anhui QNAS Energy Technology Co., Ltd","Anhui QNAS Energy Technology Co., Ltd ",China,C3.590,InterBattery Europe,,Sodium-Ion Cells and Batteries
53,"Shenzhen Huaxing New Energy Technology Co., Ltd.","Shenzhen Huaxing New Energy Technology Co., Ltd.",China,C3.579 ,InterBattery Europe,,"Residential EES, Energy Storage System"
54,Shenzhen Qichang intelligent Technology Co. Ltd ,Shenzhen Qichang intelligent Technology Co. Ltd ,China,C3.480 ,InterBattery Europe,,Portable Power Stations
55,"Ucanpower New Energy Technology co., Ltd ","Ucanpower New Energy Technology co., Ltd ",China,C3.572 ,InterBattery Europe,,"Solar inverter, storage battery"
56,"SUNWAY SOLAR CO., LTD ","SUNWAY SOLAR CO., LTD",China,C3.682 ,InterBattery Europe,,"Solar panel, Solar Battery, Inverter"
